Asset Sub Type,Asset Type,Uniformat Level 5,RS Means Number,Trade,Annual Labor Hours,Material,Who can perform work,Dock & Door Tech,Elevator Subcontractor,GMW,Electrical,HVAC,Fire System Contractor,Plumber,Crane Subcontractor,Contractor,Grounds,Subcontractor PM Work,Fire Tech,Material Handling,Vehicle Mechanic,Subcontractor,MATERIAL HANDELING
Gas Cooker,EQUIPMENT,E1095316,E10953161950,GMW,3.74,$22.50,GMW,,,3.74,,,,,,,,,,,,,
Vegetable Steamer Cooker,EQUIPMENT,E10953162,E10953162950,GMW,1.21,$22.50,GMW,,,1.21,,,,,,,,,,,,,
Steam Cooker,EQUIPMENT,E10953163,E10953163950,GMW,1.94,$22.50,GMW,,,1.94,,,,,,,,,,,,,
Electric Cookie Maker,EQUIPMENT,E1095318,E10953181950,GMW,3.50,$78.00,GMW,,,3.50,,,,,,,,,,,,,
Gas Electric Pressurized Broaster Deep Fat Fryer,EQUIPMENT,E1095320,E10953201950,GMW,2.88,$49.50,GMW,,,2.88,,,,,,,,,,,,,
Gas Electric Conventional Deep Fat Fryer,EQUIPMENT,E10953202,E10953203950,GMW,2.58,$6.35,GMW,,,2.58,,,,,,,,,,,,,
Electric Dishwasher,EQUIPMENT,E1095322,E10953221950,GMW,8.27,$177.00,GMW,,,8.27,,,,,,,,,,,,,
Carbonated Beverage Dispenser,EQUIPMENT,E1095328,E10953281950,GMW,2.00,$101.00,GMW,,,2.00,,,,,,,,,,,,,
Electric Garbage Disposal,EQUIPMENT,E1095332,E10953321950,GMW,0.44,$16.25,GMW,,,0.44,,,,,,,,,,,,,
Electric Food Slicer,EQUIPMENT,E1095340,E10953402950,GMW,1.08,$148.00,GMW,,,1.08,,,,,,,,,,,,,
Gas Electric Grill,EQUIPMENT,E1095346,E10953461950,GMW,3.58,$101.00,GMW,,,3.58,,,,,,,,,,,,,
Flake or Cube Ice Machine,EQUIPMENT,E1095348,E10953481950,GMW,3.48,$630.00,GMW,,,3.48,,,,,,,,,,,,,
Fixed or Tilt Steam Kettle,EQUIPMENT,E1095350,E10953501950,GMW,2.43,$32.50,GMW,,,2.43,,,,,,,,,,,,,
Gas Electric Convection Oven,EQUIPMENT,E1095356,E10953561950,GMW,4.05,$30.00,GMW,,,4.05,,,,,,,,,,,,,
Domestic Refrigerator,EQUIPMENT,E1095380,E10953801950,GMW,0.36,$5.40,GMW,,,0.36,,,,,,,,,,,,,
Display Case Refrigerator,EQUIPMENT,E10953802,E10953802950,GMW,1.71,$5.40,GMW,,,1.71,,,,,,,,,,,,,
Walk In Display Refrigerator,EQUIPMENT,E10953803,E10953803950,HVAC,2.38,$435.00,GMW/HVAC,,,2.38,,,,,,,,,,,,,
Walk In Refrigerator Freezer,EQUIPMENT,E1095382,E10953821950,HVAC,1.65,$435.00,GMW/HVAC,,,0.76,,0.88,,,,,,,,,,,
Display Case Freezer Refrigerated Unit,EQUIPMENT,E10953822,E10953822950,HVAC,2.99,$435.00,GMW/HVAC,,,2.99,,,,,,,,,,,,,
Steam Table,EQUIPMENT,E1095386,E10953861950,GMW,1.41,$0.00,GMW,,,1.41,,,,,,,,,,,,,
Vegetable Steamer,EQUIPMENT,E1095388,E10953881950,GMW,2.66,$22.50,GMW,,,2.66,,,,,,,,,,,,,
Gas Electric Rotary Toaster,EQUIPMENT,E1095390,E10953901950,GMW,1.91,$39.00,GMW,,,1.91,,,,,,,,,,,,,
Vacuum,EQUIPMENT,E1095930,E10959301950,GMW,1.47,$15.10,GMW,,,1.47,,,,,,,,,,,,,
Traffic Signal Light,SITEWORK,G2015610,G20156101950,Electrical,2.46,$71.50,Electrical,,,,2.46,,,,,,,,,,,,
Manual Swing Gate,SITEWORK,G2045150,G20451501950,GMW,2.54,$9.45,GMW,,,2.54,,,,,,,,,,,,,
Electric Swing Gate,SITEWORK,G20451502,G20451502950,GMW,1.21,$17.55,GMW,,,1.21,,,,,,,,,,,,,
Manual Slide Gate,SITEWORK,G2040,G20451503950,GMW,1.52,$9.45,GMW,,,1.52,,,,,,,,,,,,,
Electric Slide Gate,SITEWORK,G20451504,G20451504950,GMW,4.89,$15.50,GMW,,,4.89,,,,,,,,,,,,,
Tower Storage Tank,PLUMBING,G3015108,G30151081950,GMW,1.32,$16.20,GMW,,,1.32,,,,,,,,,,,,,
Ground Level Storage Tank,PLUMBING,G30151082,G30151082950,GMW,1.69,$13.50,GMW,,,1.69,,,,,,,,,,,,,
Turbine Water Flow Meter,PLUMBING,G3015116,G30151161950,GMW,0.71,$17.30,GMW,,,0.71,,,,,,,,,,,,,
Reservoir Controls,SITEWORK,G3015118,G30151181950,GMW,8.86,$38.50,GMW,,,8.86,,,,,,,,,,,,,
Well Air Lift Pump,PLUMBING,G3015126,G30151260950,GMW,1.81,$14.40,GMW,,,1.81,,,,,,,,,,,,,
Centrifugal Ejector Pump,PLUMBING,G30151261,G30151261950,GMW,1.20,$16.20,GMW,,,1.20,,,,,,,,,,,,,
Metering Pump,PLUMBING,G30151263,G30151263950,GMW,1.53,$22.50,GMW,,,1.53,,,,,,,,,,,,,
Mixed or Axial Flow Pump,PLUMBING,G30151264,G30151264950,GMW,1.22,$38.50,GMW,,,1.22,,,,,,,,,,,,,
Reciprocating Displacement Pump,PLUMBING,G30151265,G30151265950,GMW,1.46,$16.20,GMW,,,1.46,,,,,,,,,,,,,
Rotary Displacement Pump,PLUMBING,G30151266,G30151266950,GMW,0.79,$26.00,GMW,,,0.79,,,,,,,,,,,,,
Sump Pump,PLUMBING,G30151267,G30151267950,GMW,1.09,$16.20,GMW,,,1.09,,,,,,,,,,,,,
Vacuum Pump,PLUMBING,G30151269,G30151269950,GMW,1.49,$26.00,GMW,,,1.49,,,,,,,,,,,,,
Turbine Well,PLUMBING,G3015310,G30153101950,GMW,5.97,$127.00,GMW,,,5.97,,,,,,,,,,,,,
Fire Hydrant,FIRE PROTECTION,G3015410,G30154101950,Fire System Contractor,0.76,$23.00,GMW/Fire System Contractor,,,,,,0.76,,,,,,,,,,
Post Indicator Valve,FIRE PROTECTION,G3015420,G30154201950,Fire System Contractor,1.54,$26.50,GMW/Fire System Contractor,,,0.71,,,0.83,,,,,,,,,,
Filter Plant,SITEWORK,G3015612,G30156121950,GMW,17.58,$45.00,GMW,,,17.58,,,,,,,,,,,,,
Deionization System,PLUMBING,G3015630,G30156301950,GMW,4.13,"$1,025.00",GMW,,,4.13,,,,,,,,,,,,,
Reverse Osmosis System,PLUMBING,G3015632,G30156321950,GMW,3.97,$167.00,GMW,,,3.97,,,,,,,,,,,,,
Water Ion Exchange System,PLUMBING,G3015634,G30156341950,GMW,3.65,$19.80,GMW,,,3.65,,,,,,,,,,,,,
Water Softener,PLUMBING,G3015650,G30156501950,GMW,6.62,$18.05,GMW,,,6.62,,,,,,,,,,,,,
Fluoride Saturator,PLUMBING,G3015660,G30156601950,GMW,6.59,$23.50,GMW,,,6.59,,,,,,,,,,,,,
Chlorinator,PLUMBING,G30156701,G30156701950,GMW,3.75,$18.20,GMW,,,3.75,,,,,,,,,,,,,
Chlorine Detector,PLUMBING,G30156702,G30156702950,GMW,3.20,$172.00,GMW,,,3.20,,,,,,,,,,,,,
Sewage Ejector,PLUMBING,G3025410,G30254101950,Plumber,0.95,$51.50,Plumber,,,,,,,0.95,,,,,,,,,
Sewage Lift Pump,PLUMBING,G3025420,G30254201950,Plumber,1.77,$34.00,Plumber,,,,,,,1.77,,,,,,,,,
Floating Aerator,PLUMBING,G3025530,G30255301950,GMW,5.14,$39.50,GMW,,,5.14,,,,,,,,,,,,,
Aerator Blower,PLUMBING,G3025534,G30255341950,GMW,10.31,$208.00,GMW,,,10.31,,,,,,,,,,,,,
Clarifier,SITEWORK,G3025536,G30255361950,GMW,5.39,$87.50,GMW,,,5.39,,,,,,,,,,,,,
Above Ground Fuel Oil Storage Tank,EQUIPMENT,G3065310,G30653101950,GMW,1.94,$19.75,GMW,,,1.94,,,,,,,,,,,,,
Cathodic Protection System,ELECTRICAL,G4095110,G40951101950,GMW,1.85,$26.50,Electrical,,,,1.85,,,,,,,,,,,,
Nitrate Filter System,PLUMBING,D202101,D202101,GMW,3.59,,GMW,,,3.59,,,,,,,,,,,,,
Emergency Eye Wash Shower Station,PLUMBING,D201392,D20139200020,GMW,8.28,$25.00,GMW,,,8.28,,,,,,,,,,,,,
Electric Water Heater,PLUMBING,D202401,D202401,GMW,1.12,$132.00,GMW,,,1.12,,,,,,,,,,,,,
Domestic Water Storage Tank,PLUMBING,D202402,D202402,GMW,1.45,,GMW,,,1.45,,,,,,,,,,,,,
Ice Bank Storage System,HVAC,D301060,D30106,HVAC,0.55,$150.00,HVAC,,,,,0.55,,,,,,,,,,,
Preventive Maintenance Fuel Level Meter,EQUIPMENT,D301315,D30131500010,HVAC,0.50,$0.00,HVAC,,,,,0.50,,,,,,,,,,,
Air Cooled Condenser,HVAC,D303521,D30352101950,GMW,1.88,$60.50,GMW,,,1.88,,,,,,,,,,,,,
Refrigerated Compressed Air Dryer,EQUIPMENT,D303526,D30352601950,HVAC,1.86,$60.00,GMW/HVAC,,,1.12,,0.75,,,,,,,,,,,
Make Up Air Unit,HVAC,D304102,D304102,HVAC,6.66,$750.00,GMW/HVAC,,,4.05,,2.61,,,,,,,,,,,
Expansion Tank,HVAC,D304354,D30435400010,GMW,0.75,$15.00,GMW,,,0.75,,,,,,,,,,,,,
Electric Hydronic Baseboard Heating Unit,HVAC,D305341,D30534100020,GMW,0.50,$0.00,GMW,,,0.50,,,,,,,,,,,,,
Energy Recovery Unit,HVAC,D305900,D305900,HVAC,6.66,$125.00,GMW/HVAC,,,4.05,,2.61,,,,,,,,,,,
Exhaust and Ventilating Control System,HVAC,D306400,D306400,HVAC,0.50,$25.00,HVAC,,,,,0.50,,,,,,,,,,,
Dust Collector,HVAC,D309300,D309300,GMW,2.55,$500.00,GMW,,,2.55,,,,,,,,,,,,,
Air Curtain,HVAC,D309500,D309500,GMW,3.24,$40.00,GMW,,,3.24,,,,,,,,,,,,,
Centrifugal Air Compressor,EQUIPMENT,D309511,D30951141950,GMW,15.38,$77.00,GMW,,,15.38,,,,,,,,,,,,,
Jockey Pump,FIRE PROTECTION,D402402,D402402,Fire System Contractor,2.78,$25.00,GMW/Fire System Contractor,,,2.44,,,0.34,,,,,,,,,,
Fire Extinguisher,FIRE PROTECTION,D403100,D403100,GMW,4.04,,GMW,,,4.04,,,,,,,,,,,,,
Fire Hose Cabinet,FIRE PROTECTION,D403200,D403200,GMW,10.64,,GMW,,,10.64,,,,,,,,,,,,,
Indoor Maintenance and Inspection Lighting Panel,ELECTRICAL,D501328,D50132800020,GMW,1.84,$0.00,GMW,,,1.84,,,,,,,,,,,,,
Exterior Building Lighting and Branch Wiring,ELECTRICAL,D502200,D502200,GMW,,,GMW,,,,,,,,,,,,,,,,
EV Battery Charger,ELECTRICAL,D509327,D50932700010,Electrical,1.76,$62.50,Electrical,,,,1.76,,,,,,,,,,,,
Vehicular Equipment,EQUIPMENT,E103300,E10330000000,GMW,0.00,$0.00,GMW,,,,,,,,,,,,,,,,
Hydraulic Compactor,EQUIPMENT,E109201,E109201,GMW,2.82,$150.00,GMW,,,2.82,,,,,,,,,,,,,
Oil and Silt Interceptor Tank System,PLUMBING,E303003,E303003,GMW,0.84,$150.00,GMW,,,0.84,,,,,,,,,,,,,
Fuel Management System,EQUIPMENT,E303004,E303004,GMW,3.60,,GMW,,,3.60,,,,,,,,,,,,,
Flammable Storage Cabinet,EQUIPMENT,F202406,F202406,GMW,,,GMW,,,,,,,,,,,,,,,,
Office Kitchens,ARCHITECTURAL,G101001,G101001,GMW,,$100.00,GMW,,,,,,,,,,,,,,,,
Underground Fuel Storage Tank,EQUIPMENT,F104501,F104501,GMW,15.78,$95.00,GMW,,,15.78,,,,,,,,,,,,,
Health and Safety Survey,SERVICES,H301003,H301003,GMW,1.65,,GMW,,,1.65,,,,,,,,,,,,,
Hazardous Materials Containment,SERVICES,F202600,F202600,GMW,3.71,,GMW,,,3.71,,,,,,,,,,,,,
Finned Tube Radiator,HVAC,D304344,D30434400010,GMW,1.97,$10.00,GMW,,,1.97,,,,,,,,,,,,,
Wall Mounted Heater with Fan,HVAC,D305315,D30531500020,GMW,3.46,$124.00,GMW,,,3.46,,,,,,,,,,,,,
Variable Frequency Drive VFD,ELECTRICAL,D501326,D50132640020,Electrical,0.66,,GMW/Electrical,,,0.15,0.51,,,,,,,,,,,,
Pipe Heat Tracing Cable,ELECTRICAL,G409300,G409300,Electrical,0.09,,GMW,,,0.09,,,,,,,,,,,,,
Snow Melting System,SITEWORK,G909100,G909100,GMW,0.50,,GMW,,,0.50,,,,,,,,,,,,,
Sanitary Sewer Septic Tank and Grease Interceptor,PLUMBING,G302301,G302301,Contractor,7.02,,Contractor,,,,,,,,,7.02,,,,,,,
Storm Sewer and Retention Pond,SITEWORK,G303500,G303500,Grounds,2.47,,Grounds,,,,,,,,,,2.47,,,,,,
Unique Fire System,FIRE PROTECTION,D409900,D409900,Fire System Contractor,1.77,,Fire System Contractor,,,,,,1.77,,,,,,,,,,
Auger Compactor,EQUIPMENT,E109200,E109200,GMW,2.13,$250.00,GMW,,,2.13,,,,,,,,,,,,,
Lightning Protection System,ELECTRICAL,D509700,D509700,Electrical,1.27,,Electrical,,,,1.27,,,,,,,,,,,,
Domestic Inline Water Filter,PLUMBING,D202100,D202100,GMW,0.45,$45.00,GMW,,,0.45,,,,,,,,,,,,,
Swinging Fire Door,ARCHITECTURAL,C102511,C10251101950,GMW,0.63,,GMW,,,0.63,,,,,,,,,,,,,
Blower Coil,HVAC,D304600,D304600,HVAC,2.10,$103.00,GMW/HVAC,,,0.52,,1.58,,,,,,,,,,,
GDI PSI Tank,SITEWORK,GDI-PSITANK,GDI-PSITANK,GMW,1.89,,GMW,,,1.89,,,,,,,,,,,,,
GDI Glycol Tank,HVAC,GDI-GLYCOLTANK,GDI-GLYCOLTANK,GMW,2.95,,GMW,,,2.95,,,,,,,,,,,,,
GDI Oil Grit Separator,SITEWORK,GDI-OILGRIT,GDI-OILGRIT,GMW,0.88,,GMW,,,0.88,,,,,,,,,,,,,
Intercommunication and Paging System,COMMUNICATIONS & SECURITY,D503200,D503200,Electrical,1.88,,Electrical,,,,1.88,,,,,,,,,,,,
Electric Pallet Lift,EQUIPMENT,GDI-Pallet Lift,GDI-Pallet Lift,GMW,6.00,$50.00,GMW,,,6.00,,,,,,,,,,,,,
Electric Cart,EQUIPMENT,GDI-Electric Cart,GDI-Electric Cart,GMW,9.00,$50.00,GMW,,,9.00,,,,,,,,,,,,,
Electric Forklift,EQUIPMENT,GDI-ForkLiftElectric,GDI-ForkLiftElectric,Contractor,5.32,$50.00,Contractor,,,,,,,,,5.32,,,,,,,
Fossil Fuel Forklift,EQUIPMENT,GDI-ForkLiftFueled,GDI-ForkLiftFueled,Contractor,10.25,$400.00,Contractor,,,,,,,,,10.25,,,,,,,
Pickup Truck,EQUIPMENT,GDI-PickupTruck,GDI-PickupTruck,Contractor,17.39,$350.00,Contractor,,,,,,,,,17.39,,,,,,,
Roof Inspection,SERVICES,GDI-RoofInspect,GDI-RoofInspect,GMW,1.76,$0.00,GMW,,,1.76,,,,,,,,,,,,,
Oil or Gas Fired Forced Air Furnace Heater,HVAC,D30551222950,D30551222950,HVAC,3.75,$249.00,HVAC,,,,,3.75,,,,,,,,,,,
Green Roof Maintenance,SERVICES,G303800,G303800,Grounds,8.02,$0.00,Grounds,,,,,,,,,,8.02,,,,,,
Maintenance and Inspection Fire Alarm Control Panel,FIRE PROTECTION,D50337600020,D50337600020,Fire System Contractor,0.53,$0.00,Fire System Contractor,,,,,,0.53,,,,,,,,,,
Fire System Interface Devices Bells Horns Pulls Strobes,FIRE PROTECTION,D503703,D503703,Fire System Contractor,2.55,$55.00,Fire System Contractor,,,,,,2.55,,,,,,,,,,
Annual Electrical Grounding Inspection,SERVICES,D509000,D509000,Electrical,0.74,$0.00,Electrical,,,,0.74,,,,,,,,,,,,
Mud Splash,SITEWORK,GDI Mud Splash,GDI Mud Splash,GMW,1.00,$0.00,GMW,,,1.00,,,,,,,,,,,,,
VRF VRV System Fan Coil Terminal Unit,HVAC,D305400,D305400,HVAC,3.82,$310.00,GMW/HVAC,,,2.25,,1.57,,,,,,,,,,,
Hydronic Solids Separator Filter,HVAC,D209300,D209300,GMW,2.35,$125.00,GMW,,,2.35,,,,,,,,,,,,,
Glycol Heating and Radiant Panel Distribution System,HVAC,D304400,D304400,GMW,0.84,$0.00,GMW,,,0.84,,,,,,,,,,,,,
Compressed Air Pipe Filters and Separators,EQUIPMENT,D20939465030,D20939465030,GMW,0.32,$45.00,GMW,,,0.32,,,,,,,,,,,,,
Chemical Pot Feeder,SPECIALIZED EQUIPMENT,D30232921010,D30232921010,GMW,0.60,$0.00,GMW,,,0.60,,,,,,,,,,,,,
Irrigation System,SITEWORK,G205700,G205700,Contractor,0.00,$0.00,Contractor,,,,,,,,,,,,,,,,
Tanks Ponds Reservoirs Lagoons,SITEWORK,G301500,G301500,Contractor,7.17,$350.00,Contractor,,,,,,,,,7.17,,,,,,,
Elevator Recall Special Emergency Service,FIRE PROTECTION,D101406,D101406,Contractor/GMW,3.00,$0.00,GMW/Fire System Contractor,,,2.75,,,0.25,,,,,,,,,,
Subcontractor Requirements,SERVICES,H103003,H103003,Subcontractor PM Work,8.27,$0.00,Contractor,,,,,,,,,8.27,,,,,,,
Gas Fired Pan Humidification,HVAC,D309200,D309200,HVAC,2.10,$55.00,GMW/HVAC,,,0.71,,1.39,,,,,,,,,,,
Belt Drive Kitchen Hood with Fire Suppression,EQUIPMENT,D3045250,D30452501950,GMW/Fire Tech,5.90,$147.00,GMW/Fire System Contractor,,,4.77,,,1.13,,,,,,,,,,
Roadways Guardrails and Barriers,SITEWORK,G201400,G201400,GMW,0.50,$0.00,GMW,,,0.50,,,,,,,,,,,,,
Security Access System Arm Gate,COMMUNICATIONS & SECURITY,G403500,G403500,GMW,2.20,$45.00,GMW,,,2.20,,,,,,,,,,,,,
Window AC Unit,HVAC,D305000,D30532651010,HVAC,1.07,$13.00,GMW/HVAC,,,1.07,,,,,,,,,,,,,
Force Flow Electric Unit Heater,HVAC,D305315,D305103,GMW,3.46,$124.00,GMW,,,3.46,,,,,,,,,,,,,
Doors Hardware Closers,ARCHITECTURAL,C102103,C102103,GMW,0.51,$20.00,GMW,,,0.51,,,,,,,,,,,,,
Digital Signage,COMMUNICATIONS & SECURITY,G204400,G204400,GMW,0.43,$5.00,GMW,,,0.43,,,,,,,,,,,,,
Fume Hood and Collector,HVAC,D309400,D309400,HVAC,8.40,$45.00,HVAC,,,,,8.40,,,,,,,,,,,
Spill Kit,EQUIPMENT,F202701,F202701,GMW,2.09,$150.00,GMW,,,2.09,,,,,,,,,,,,,
Trap Seal Primer,PLUMBING,D203300,D203300,GMW,1.20,$0.00,GMW,,,1.20,,,,,,,,,,,,,
Acid Neutralizer Waste System,PLUMBING,D209200,D209200,GMW,8.33,$600.00,GMW,,,8.33,,,,,,,,,,,,,
Substation Equipment,ELECTRICAL,G401101,G401101,Electrical,30.14,"$1,050.00",Electrical,,,,30.14,,,,,,,,,,,,
Underground Wiring Conduits and Duct Banks,ELECTRICAL,G402300,G402300,Electrical,21.14,$335.00,Electrical,,,,21.14,,,,,,,,,,,,
Refrigerated Prep Table,EQUIPMENT,E10953361950,E10953361950,HVAC,1.66,$50.00,HVAC,,,,,1.66,,,,,,,,,,,
Nitrogen Generator,EQUIPMENT,D409001,D409001,Fire System Contractor,3.11,$650.00,GMW/Fire System Contractor,,,0.66,,,2.46,,,,,,,,,,
Quality Requirements,GENERAL REQUIREMENTS - General,H102002,H102002,GMW,0.25,$0.00,GMW,,,0.25,,,,,,,,,,,,,
Air handling unit Wet Cell Evaporative Cooling,DISTRIBUTION SYSTEMS - General,D3045110,D3045110,HVAC,7.74,"$2,000.00",GMW/HVAC,,,3.34,,4.40,,,,,,,,,,,
Oil Detection System Pump,SANITARY WASTE - General,D2030120,D2030120,Plumber,3.82,$50.00,GMW,,,3.82,,,,,,,,,,,,,
Glycol System,HVAC,D3040900,D3040900,HVAC,7.64,$55.00,GMW/HVAC,,,4.64,,3.00,,,,,,,,,,,
Pedestrian Entrance System,COMMUNICATIONS & SECURITY,F103330,F103330,Electrical,2.05,$25.00,GMW/Electrical,,,1.48,0.57,,,,,,,,,,,,
Window AC unit Cooling Only,HVAC,D30532651030,D30532651030,HVAC,3.63,$45.00,GMW,,,3.63,,,,,,,,,,,,,
Refrigerant monitor,HVAC,GDI-FreonMonitor,GDI-FreonMonitor,HVAC,1.86,$75.00,HVAC,,,,,1.86,,,,,,,,,,,
Pallet Lift-Electric,MATERIAL HANDELING,GDI-PalletLift,GDI-PalletLift,Material Handling,3.50,$250.00,GMW/MATERIAL HANDELING,,,2.54,,,,,,,,,,,,,0.97
Shuttle Vehicle,VEHICLES,GDI-ElectricCart,GDI-ElectricCart,Vehicle Mechanic,2.85,$386.00,GMW/VEHICLE MECHANIC,,,1.37,,,,,,,,,,,1.49,,
Domestic booster pump,PLUMBING,D202300,D202300,Plumber,3.97,$62.00,GMW/PLUMBER,,,2.92,,,,1.05,,,,,,,,,
Detex Alarmed Push Bar,INTERIOR DOORS,C1020,C1020,GMW,2.03,$40.00,GMW,,,2.03,,,,,,,,,,,,,
Stainless Steel Processing Tank,SPECIALIZED EQUIPMENT,E303000,,GMW,4.00,$50.00,GMW,,,4.00,,,,,,,,,,,,,
Caustic Tank,SPECIALIZED EQUIPMENT,E303000,,Plumber,2.50,$25.00,Plumber,,,,,,,2.50,,,,,,,,,
Portable Electronic Gas Detector,INSTRUMENTATION,D306000,,Electrical,2.00,$150.00,Electrical,,,,2.00,,,,,,,,,,,,
METER THERMOMETER,INSTRUMENTATION,D306000,,Subcontractor,1.00,$0.00,Subcontractor,,,,,,,,,,,,,,,1.00,
CONDUCTIVITY METER,INSTRUMENTATION,D306000,,Subcontractor,1.00,$15.00,Subcontractor,,,,,,,,,,,,,,,1.00,
METER TURBIDIMETER,INSTRUMENTATION,D306000,,Subcontractor,1.00,$15.00,Subcontractor,,,,,,,,,,,,,,,1.00,
METER PH,INSTRUMENTATION,D306000,,Subcontractor,1.50,$20.00,Subcontractor,,,,,,,,,,,,,,,1.50,
TORQUE METER,INSTRUMENTATION,D306000,,Subcontractor,1.00,$0.00,Subcontractor,,,,,,,,,,,,,,,1.00,
PRESSURE GAUGE,INSTRUMENTATION,D306000,,GMW,0.50,$0.00,GMW,,,0.50,,,,,,,,,,,,,
MOISTURE METER,INSTRUMENTATION,D306000,,Subcontractor,1.50,$0.00,Subcontractor,,,,,,,,,,,,,,,1.50,
SPECTROPHOTOMETER,INSTRUMENTATION,D306000,,Subcontractor,2.00,$50.00,Subcontractor,,,,,,,,,,,,,,,2.00,
RECORDER DATA LOGGER- TEMP./ HUMIDITY,INSTRUMENTATION,D306000,,Electrical,0.50,$10.00,Electrical,,,,0.50,,,,,,,,,,,,
METER BURETTE,INSTRUMENTATION,D306000,,Subcontractor,1.00,$0.00,Subcontractor,,,,,,,,,,,,,,,1.00,
