Asset Sub Type,Asset Type,Uniformat Level 5,RS Means Number,Trade,Annual Labor Hours,Material,Who can perform work,Dock & Door Tech,Elevator Subcontractor,GMW,Electrical,HVAC,Fire System Contractor,Plumber,Crane Subcontractor,Contractor,Grounds,Subcontractor PM Work,Fire Tech,Material Handling,Vehicle Mechanic,Subcontractor,MATERIAL HANDELING
Paint Booth,OTHER HVAC SYSTEMS & EQUIPMENT,D309701,D309701,HVAC,33.42,"$25,000.00",GMW/HVAC,,,27.46,,5.96,,,,,,,,,,,
Water Detection System,SITE COMMUNICATIONS & SECURITY,G403301,G403301,Electrical,2.32,$350.00,Subcontractor,,,,,,,,,,,,,,,2.32,
Motorized Damper,DISTRIBUTION SYSTEMS,D304101,D304101,GMW,1.01,$25.00,GMW,,,1.01,,,,,,,,,,,,,
Steam Trap,ENERGY SUPPLY,D301401,D301401,GMW,2.83,$150.00,GMW,,,2.83,,,,,,,,,,,,,
Hydronic Bypass Filter,OTHER PLUMBING SYSTEMS,D209001,D209001,GMW,2.93,$200.00,GMW,,,2.93,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
